# clustering total_clust clust_num n_obj t_scr c_scr rms avg_dist max_dist min_dist stdev cen_1 cen_2 cen_3 avg_col_1 avg_col_2 avg_col_3
kmeans 3 1 8387 0.495611180021 0.53625429993 1.5058 0.5017  5.7745 0.0010 0.7414 -0.321192917611 -1.76837927745 -1.84220841779 -0.3212 -1.7684 -1.8422
kmeans 3 2 1167 0.495611180021 0.43055115864 0.8809 1.1888  7.2269 0.0078 0.6910 0.903007712082 0.240009425878 0.495994001714 0.9030 0.2400 0.4960
kmeans 3 3 5389 0.495611180021 0.446446436706 0.9212 0.5702  2.1508 0.0014 0.6251 0.118422341807 -1.09820745964 -1.04999740212 0.1184 -1.0982 -1.0500
kmeans 4 1 632 0.45552862258 0.415563060374 1.1274 1.1873  6.5160 0.0085 0.6622 1.13408860759 0.647547468354 0.955602848101 1.1341 0.6475 0.9556
kmeans 4 2 6163 0.45552862258 0.447687333993 1.1283 0.4157  1.9854 0.0010 0.6466 -0.0511496024663 -1.3582797339 -1.36441700471 -0.0511 -1.3583 -1.3644
kmeans 4 3 2270 0.45552862258 0.409818206233 0.6112 0.6256  2.2425 0.0030 0.5520 0.392701762115 -0.657024669604 -0.522845374449 0.3927 -0.6570 -0.5228
kmeans 4 4 5878 0.45552862258 0.485699895458 1.5973 0.4338  5.4776 0.0010 0.7521 -0.3904047295 -1.8741531133 -1.96297941477 -0.3904 -1.8742 -1.9630
kmeans 5 1 3441 0.425551270314 0.40655382788 0.8635 0.4414  1.6718 0.0014 0.5918 0.155866027318 -1.04994623656 -0.992545480965 0.1559 -1.0499 -0.9925
kmeans 5 2 5836 0.425551270314 0.425844247225 1.2766 0.3471  1.7818 0.0010 0.6701 -0.165731494174 -1.52833618917 -1.56560966415 -0.1657 -1.5283 -1.5656
kmeans 5 3 344 0.425551270314 0.384370860605 1.4244 1.2289  5.9551 0.0222 0.6613 1.35163662791 1.03214244186 1.40099127907 1.3516 1.0321 1.4010
kmeans 5 4 4069 0.425551270314 0.445886170959 1.6742 0.3961  5.3089 0.0010 0.7641 -0.447557630868 -1.96079331531 -2.0605930204 -0.4476 -1.9608 -2.0606
