#clustering band1 band2 band3 band4 band5 band6 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40
kmeans mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_555 N/A N/A N/A experiments.txt 4105.14199902 0.495611180021 3 14943 8387 5389 1167    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_555 N/A N/A N/A experiments.txt 2826.60003979 0.45552862258 4 14943 6163 5878 2270  632    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_555 N/A N/A N/A experiments.txt 2138.10384999 0.425551270314 5 14943 5836 4069 3441 1253  344    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_555 N/A N/A N/A experiments.txt 1707.57353933 0.407816934822 6 14943 5277 3796 3139 1756  797  178    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_555 N/A N/A N/A experiments.txt 1438.87507439 0.380754354574 7 14943 4111 3949 2633 2185 1280  635  150    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_555 N/A N/A N/A experiments.txt 1254.92430095 0.363178070755 8 14943 3765 3640 2821 1691 1563  867  470  126    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_555 0.6821 N/A N/A N/A N/A 0.50420180635 7 14943 14477   433    13     8     7     4     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_555 0.6000 N/A N/A N/A N/A 0.352912845844 9 14943 14329   411   105    83     6     4     3     1     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_555 0.7200 N/A N/A N/A N/A 0.496408683469 6 14943 14471   427    33     7     4     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_555 0.7500 N/A N/A N/A N/A 0.496301053607 6 14943 14473   425    33     7     4     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_225 mag05_336 mag05_225 mag05_438 mag05_225 mag05_555 0.8000 N/A N/A N/A N/A 0.405868348442 5 14943 14645   215    76     6     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
