#clustering band1 band2 band3 band4 band5 band6 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40
meanshift mag05_336 mag05_373 mag05_373 mag05_438 mag05_373 mag05_555 0.6022 N/A N/A N/A N/A 0.551609249487 7 8657 8210  211  131   62   38    4    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_373 mag05_373 mag05_438 mag05_373 mag05_555 N/A N/A N/A experiments.txt 2277.68271677 0.551773382429 3 8657 6843 1509  305    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_373 mag05_373 mag05_438 mag05_373 mag05_555 0.5000 N/A N/A N/A N/A 0.491611511306 13 8657 7813  424  234   70   40   33   19   12    6    2    2    1    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_373 mag05_373 mag05_438 mag05_373 mag05_555 N/A N/A N/A experiments.txt 1731.85023285 0.342989829036 4 8657 3720 3649 1046  242    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_373 mag05_373 mag05_438 mag05_373 mag05_555 0.5500 N/A N/A N/A N/A 0.464696416592 10 8657 8020  241  161  128   42   41   19    3    1    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_373 mag05_373 mag05_438 mag05_373 mag05_555 N/A N/A N/A experiments.txt 1373.141792 0.350746561039 5 8657 3888 2351 1629  562  227    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_373 mag05_373 mag05_438 mag05_373 mag05_555 0.6200 N/A N/A N/A N/A 0.560139817282 6 8657 8210  240  131   62   13    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_373 mag05_373 mag05_438 mag05_373 mag05_555 N/A N/A N/A experiments.txt 1197.10863677 0.329393184186 6 8657 3104 2882 1462  531  529  149    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_373 mag05_373 mag05_438 mag05_373 mag05_555 0.6000 N/A N/A N/A N/A 0.551609249487 7 8657 8210  211  131   62   38    4    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_373 mag05_373 mag05_438 mag05_373 mag05_555 N/A N/A N/A experiments.txt 1060.23000793 0.319232164051 7 8657 2766 2719 1633  692  436  270  141    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_373 mag05_373 mag05_438 mag05_373 mag05_555 0.6500 N/A N/A N/A N/A 0.614074138023 4 8657 8471  129   56    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_373 mag05_373 mag05_438 mag05_373 mag05_555 N/A N/A N/A experiments.txt 945.288730901 0.334463761732 8 8657 2739 2434 1245  975  532  331  273  128    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
