#clustering band1 band2 band3 band4 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40
kmeans mag05_657 mag05_814 mag05_438 mag05_555 N/A N/A N/A experiments.txt 7991.61905877 0.423354475805 3 41317 18711 16880  5726     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_657 mag05_814 mag05_438 mag05_555 N/A N/A N/A experiments.txt 6044.68661401 0.375867883437 4 41317 16156 11183 10439  3539     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_657 mag05_814 mag05_438 mag05_555 N/A N/A N/A experiments.txt 5072.18540174 0.342639494809 5 41317 13216 12121  6875  6722  2383     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_657 mag05_814 mag05_438 mag05_555 N/A N/A N/A experiments.txt 4335.94611731 0.358385586843 6 41317 12727 10597  6307  5535  3744  2407     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_657 mag05_814 mag05_438 mag05_555 N/A N/A N/A experiments.txt 3780.45252571 0.338459070646 7 41317 10804  9524  8091  4092  3378  3371  2057     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_657 mag05_814 mag05_438 mag05_555 N/A N/A N/A experiments.txt 3379.28190245 0.342771778149 8 41317 8762 8590 8303 4492 3784 2782 2757 1847    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_657 mag05_814 mag05_438 mag05_555 0.6072 N/A N/A N/A N/A 0.345781689833 5 41317 41204 62 42 8 1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
meanshift mag05_657 mag05_814 mag05_438 mag05_555 0.4500 N/A N/A N/A N/A 0.223702041089 10 41317 40703 494     51     48     12      3      2      2      1      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
meanshift mag05_657 mag05_814 mag05_438 mag05_555 0.5000 N/A N/A N/A N/A 0.26503614446 8 41317 40496 706     57     48      4      4      1      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
meanshift mag05_657 mag05_814 mag05_438 mag05_555 0.6500 N/A N/A N/A N/A 0.525616172559 4 41317 41248 42     26      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
meanshift mag05_657 mag05_814 mag05_438 mag05_555 0.5500 N/A N/A N/A N/A 0.283980403051 6 41317 40500 711     52     46      7      1      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0 
