#clustering band1 band2 band3 band4 band5 band6 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40
meanshift mag05_673 mag05_814 mag05_336 mag05_673 mag05_555 mag05_673 0.8522 N/A N/A N/A N/A 0.392770096405 4 14586 13659   515   351    61     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_673 mag05_814 mag05_336 mag05_673 mag05_555 mag05_673 N/A N/A N/A experiments.txt 5267.77937931 0.429883662069 3 14586 7398 5137 2051    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_673 mag05_814 mag05_336 mag05_673 mag05_555 mag05_673 0.4000 N/A N/A N/A N/A 0.205035010043 34 14586 10042  1827   847   446   336   290   202   133   122    88    86    51    25    17    14     9     6     6     6     5     5     3     3     3     2     2     2     2     1     1     1     1     1     1     0     0     0     0     0     0
kmeans mag05_673 mag05_814 mag05_336 mag05_673 mag05_555 mag05_673 N/A N/A N/A experiments.txt 3706.71194784 0.309641805115 5 14586 4328 4297 3193 2036  732    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_673 mag05_814 mag05_336 mag05_673 mag05_555 mag05_673 0.5500 N/A N/A N/A N/A 0.332806132527 8 14586 11959  2045   404    76    57    38     4     3     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_673 mag05_814 mag05_336 mag05_673 mag05_555 mag05_673 N/A N/A N/A experiments.txt 3237.92381314 0.31282132208 6 14586 4209 3884 2607 2027 1132  727    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_673 mag05_814 mag05_336 mag05_673 mag05_555 mag05_673 0.6000 N/A N/A N/A N/A 0.33636610311 8 14586 12013  2012   387    92    42    34     4     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_673 mag05_814 mag05_336 mag05_673 mag05_555 mag05_673 N/A N/A N/A experiments.txt 2930.13919026 0.285750411871 7 14586 3378 3047 2806 2282 1500 1095  478    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_673 mag05_814 mag05_336 mag05_673 mag05_555 mag05_673 0.6500 N/A N/A N/A N/A 0.387606430733 4 14586 13509   536   503    38     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_673 mag05_814 mag05_336 mag05_673 mag05_555 mag05_673 N/A N/A N/A experiments.txt 2625.5427983 0.294390464357 8 14586 3380 3005 2767 2245 1243 1035  475  436    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
